lon,lat,anomalia,dpv,vel_media_viento
-4.863596,39.958607,,,1.9
-4.680608,40.108208,76.207745996989,1.3409930221098,
-4.616461,39.088833,34.896265560166,1.3511776949399,0.8
-4.350468,39.546833,67.236211031175,1.161502962591,2.2
-4.301663,38.428886,74.770767756945,1.5969321272601,
-4.291943,38.898056,75.7834952785,1.5233086631209,
-4.045278,39.884445,70.630411255411,1.6008160167549,
-3.920278,38.989166,,,2.2
-3.566724,38.518047,71.224051539012,1.752442217328,
-3.391368,38.750423,,,1.9
-3.215832,39.390827,78.560195701555,1.8225467659696,
-3.149995,40.630283,63.392857142857,1.7907340355305,3.6
-3.142474,41.274166,75.366087313535,1.2607172182378,
-3.02139,40.012074,,,3.9
-3.00749,39.169044,43.530591775326,1.8277471033866,2.8
-2.874063,40.765198,85.069111810593,1.443696668897,
-2.80695,40.06111,75.372930067059,1.6777233134576,
-2.705556,39.555283,76.597782947858,1.5630467440015,
-2.617927,41.086277,,,2.8
-2.488886,39.016663,78.15108799781,2.1572325467526,
-2.420691,39.416737,70.785219399538,1.6993253629866,5.3
-2.412981,38.08842,84.932256740112,1.5962964958827,
-2.395207,40.018784,76.105104694129,1.7631754150747,
-2.293887,38.294994,83.543177774737,0.34534767544549,
-2.218889,38.393333,83.009442999863,0.76489041839634,
-2.131667,40.066944,56.559745701488,1.5673825867578,2.5
-1.878928,40.841652,51.102071005917,1.2892122719545,3.1
-1.862335,39.005577,51.129283489097,2.553979599511,2.8
-1.856389,38.954166,85.707481815033,2.4480974811357,7.2
-1.70307,38.54202,75.966585024493,2.7220742034009,5.3
-1.68944,38.58806,85.78075817709,2.9320101134545,
-1.568336,40.77861,78.582181469823,1.4275472726398,
-1.435505,39.198746,82.523607499658,2.4491481130741,
-1.063051,38.85055,87.997810318872,2.9962092360439,
